Date,M,AL,AS,BR,CA,CL,CR,CU,EC1,EC2,EC3,FE,H,K,MN,NA,NI,NO3,OC1,OC2,OC3,OC4,OP,PB,RB,S,SE,SI,SR,TI,V,ZN
1-ม.ค.-00,20.9571,0.05638,0.000335,0.00506,0.07695,0.0014,0.000775,0.00781,3.7525,0.1797,0.0305,0.17141,1.04554,0.05415,0.00479,0.03231,0.00596,1.2295,0.0746,1.1322,0.8203,0.9153,0.5593,0.01321,0.00053,1.47454,0.00118,0.16483,0.00155,0.01343,0.00505,0.02693
2-ม.ค.-00,11.27796,0.04586,0.00051,0.00583,0.05573,0.002725,0.001045,0.0047,1.440582177,0.106578267,0.017402763,0.14931,0.67244,0.04969,0.0034,0.02092,0.00439,1.599667626,0.391490732,0.61245906,0.843706711,0.865431394,0.269664654,0.0204,0.000745,1.57116,0.00333,0.11031,0.000835,0.00467,0.0013,0.01953
3-ม.ค.-00,16.85745943,0.09276,0.00056,0.00879,0.07595,0.003925,0.001315,0.00677,2.4607,0.3714,0.0143,0.17591,2.27162,0.09019,0.001315,0.050145,0.000665,0.7904,1.2857,0.6964,0.5643,1.1143,0.8143,0.02012,0.000835,6.12684,0.00442,0.2458,0.00094,0.00179,0.001635,0.01921
4-ม.ค.-00,16,0.07211,0.000225,0.00387,0.10184,0.001445,0.00051,0.0069,1.7162,0.1188,0.0132,0.24737,0.45537,0.05456,0.00637,0.016085,0.000275,0.3859,0.2871,0.6436,0.3927,0.6106,0.1881,0.01109,0.00033,1.4781,0.00135,0.21831,0.00228,0.01145,0.00172,0.02278
5-ม.ค.-00,12.07792,0.00363,0.00054,0.00814,0.05338,0.00279,0.001095,0.00505,1.5559,0.0329,0.01315,0.07069,0.62194,0.05291,0.0011,0.12012,0.00405,1.1697,0.3355,0.5691,0.6217,0.5987,0.2664,0.01901,0.000815,0.91901,0.0064,0.12957,0.000915,0.00405,0.00345,0.01263
6-ม.ค.-00,18.10289,0.00401,0.00045,0.00673,0.0684,0.00264,0.00093,0.00487,1.5552,0.1396,0.013,0.14104,1.09211,0.07192,0.000935,0.027785,0.00052,0.5173,0.2143,0.6461,0.5292,0.8539,0.2922,0.01776,0.00067,2.84247,0.00465,0.20633,0.00075,0.00689,0.00116,0.02638
7-ม.ค.-00,11.73633,0.04718,0.00045,0.00602,0.0541,0.00248,0.000945,0.0047,1.19,0.1333,0.0333,0.1389,0.66102,0.06867,0.00094,0.018985,0.000515,0.4654,0.4767,0.2567,0.3133,0.4333,0.05,0.02225,0.000675,1.31197,0.00481,0.13996,0.00076,0.001275,0.00295,0.02495
8-ม.ค.-00,32.7451,0.07361,0.00054,0.01216,0.08502,0.00336,0.001215,0.00579,3.8155,0.2621,0.01295,0.18632,1.50124,0.10455,0.00481,0.034945,0.00809,3.1616,1.4272,0.6828,0.7799,1.3236,0.4337,0.03097,0.000785,3.53498,0.00589,0.22014,0.0043,0.0093,0.00821,0.04616
9-ม.ค.-00,36.33987,0.05944,0.000495,0.01114,0.06424,0.00335,0.00115,0.00522,2.2783,0.1456,0.01295,0.10555,1.53045,0.07287,0.00314,0.25234,0.00539,2.0556,0.7055,2.4045,1.4045,1.8026,0.2492,0.02223,0.00074,4.33085,0.00488,0.19578,0.00083,0.00812,0.00412,0.02546
10-ม.ค.-00,12.66949,0.05284,0.000225,0.00491,0.07047,0.00143,0.00148,0.00493,1.7063,0.3366,0.0132,0.15864,0.70036,0.05787,0.00402,0.01528,0.000275,1.2943,0.5413,0.198,0.3135,0.396,0.2574,0.014,0.00033,1.3901,0.00199,0.13898,0.000375,0.00542,0.00165,0.02511
11-ม.ค.-00,6.57371,0.04738,0.00021,0.00308,0.04452,0.001165,0.000435,0.0038,0.9605,0.2401,0.0592,0.11403,0.35298,0.03606,0.00217,0.010575,0.00024,0.4611,0.3289,0.2204,0.2007,0.1711,0.1283,0.01016,0.000315,0.70584,0.00139,0.10109,0.000355,0.00372,0.000535,0.01605
12-ม.ค.-00,8.6692,0.04597,0.0002,0.00464,0.05542,0.00119,0.00115,0.00454,1.412,0.0797,0.0133,0.15613,0.3939,0.06335,0.00419,0.03752,0.00231,0.7342,0.1628,0.3754,0.2957,0.392,0.04985,0.01329,0.000295,0.90461,0.00246,0.09259,0.00033,0.00302,0.00283,0.02074
13-ม.ค.-00,7.07692,0.001595,0.000195,0.00389,0.01431,0.00116,0.00043,0.00192,1.0329,0.1743,0.01315,0.0502,0.41715,0.02887,0.00043,0.02859,0.00434,0.7423,0.1546,0.4013,0.273,0.3421,0.3191,0.00774,0.00259,0.943,0.00144,0.05358,0.00033,0.00195,0.00053,0.00691
14-ม.ค.-00,13.28889,0.001855,0.000205,0.00444,0.07804,0.001275,0.000455,0.00819,2.7267,0.13,0.0333,0.23039,0.66306,0.08235,0.00213,0.03702,0.00829,1.1793,0.99,0.45,0.65,0.65,0.05,0.01333,0.00029,0.94709,0.00132,0.13402,0.00266,0.00385,0.01162,0.02155
