Date,M,AL,AS,BR,CA,CL,CR,CU,EC1,EC2,EC3,FE,H,K,MN,NA,NI,NO3,OC1,OC2,OC3,OC4,OP,PB,RB,S,SE,SI,SR,TI,V,ZN
1-ม.ค.-00,0.76001,0.02553,0.000558333,0.0009,0.005536667,0.002333333,0.001291667,0.00083,1.036933333,0.0945,0.033533333,0.009076667,0.05918,0.004293333,0.001336667,0.020496667,0.000766667,0.063566667,0.248666667,0.2399,0.165666667,0.150866667,0.1941,0.00159,0.000883333,0.07576,0.00055,0.011923333,0.00084,0.0025,0.00146,0.001716667
2-ม.ค.-00,0.480643333,0.02663,0.00085,0.001116667,0.005546667,0.004541667,0.001741667,0.00103,11.52465742,0.426313069,0.069611052,0.008376667,0.044796667,0.00566,0.00179,0.034866667,0.00098,6.398670504,3.131925859,2.449836242,3.374826846,3.461725578,1.078658618,0.002703333,0.001241667,0.082233333,0.0009,0.01119,0.001391667,0.002293333,0.002166667,0.001673333
3-ม.ค.-00,67.42983772,0.04886,0.000933333,0.001373333,0.00752,0.006541667,0.002191667,0.001216667,0.6946,0.1449,0.023833333,0.0096,0.132096667,0.00818,0.002191667,0.083575,0.001108333,0.045533333,0.903733333,0.1755,0.145666667,0.178633333,0.2633,0.002806667,0.001391667,0.311173333,0.000956667,0.02072,0.001566667,0.002983333,0.002725,0.001746667
4-ม.ค.-00,0.653313333,0.02267,0.000375,0.00054,0.006523333,0.002408333,0.00085,0.000663333,0.4934,0.0788,0.022,0.012843333,0.03158,0.004313333,0.00249,0.026808333,0.000458333,0.030566667,0.364,0.1622,0.1233,0.1105,0.1042,0.001206667,0.00055,0.07568,0.00036,0.013413333,0.000713333,0.002013333,0.001283333,0.001433333
5-ม.ค.-00,0.505253333,0.01815,0.0009,0.001306667,0.005696667,0.00465,0.001825,0.00106,0.450733333,0.054833333,0.021916667,0.00433,0.045643333,0.005866667,0.001833333,0.04198,0.001053333,0.060933333,0.387066667,0.1508,0.143666667,0.108833333,0.1205,0.00269,0.001358333,0.050016667,0.001113333,0.011646667,0.001525,0.00372,0.00383,0.00138
6-ม.ค.-00,0.673546667,0.02005,0.00075,0.001173333,0.00614,0.0044,0.00155,0.000953333,0.4502,0.082733333,0.021666667,0.00797,0.06381,0.00645,0.001558333,0.046308333,0.000866667,0.0349,0.325466667,0.161566667,0.133866667,0.1415,0.125566667,0.002396667,0.001116667,0.1457,0.000926667,0.015566667,0.00125,0.002473333,0.001933333,0.001946667
7-ม.ค.-00,0.494226667,0.02622,0.00075,0.001136667,0.005616667,0.004133333,0.001575,0.00093,0.354066667,0.082633333,0.0342,0.00763,0.04301,0.006243333,0.001566667,0.031641667,0.000858333,0.033233333,0.4614,0.107933333,0.1179,0.088366667,0.083333333,0.00268,0.001125,0.06917,0.00093,0.012253333,0.001266667,0.002125,0.002013333,0.001893333
8-ม.ค.-00,1.1048,0.0353,0.0009,0.001486667,0.007646667,0.0056,0.002025,0.001126667,1.052066667,0.112566667,0.021583333,0.010086667,0.10487,0.00859,0.002363333,0.058241667,0.001196667,0.144533333,0.959933333,0.166966667,0.157833333,0.203266667,0.159766667,0.003163333,0.001308333,0.18102,0.00114,0.017093333,0.001606667,0.003326667,0.003616667,0.003026667
9-ม.ค.-00,1.21132,0.03366,0.000825,0.001356667,0.006393333,0.005583333,0.001916667,0.00114,0.642266667,0.084066667,0.021583333,0.006003333,0.11031,0.006886667,0.00176,0.071456667,0.00103,0.097666667,0.574333333,0.441666667,0.223833333,0.266766667,0.115666667,0.00263,0.001233333,0.220846667,0.000946667,0.016143333,0.001383333,0.00281,0.00241,0.00196
10-ม.ค.-00,0.576403333,0.02125,0.000375,0.000603333,0.004963333,0.002383333,0.00087,0.000593333,0.4908,0.1323,0.022,0.008403333,0.043813333,0.004323333,0.00137,0.025466667,0.000458333,0.066066667,0.4924,0.1,0.117,0.0834,0.1187,0.001353333,0.00055,0.07125,0.00041,0.00959,0.000625,0.00162,0.001043333,0.001553333
